FORMATNAME;Формат 6.4;
DATFDSDP;10;Дата включения в Федеральный регистр получателя СДП: ГГГГ/ММ/ДД  (п.21 примечаний)
DIFSDP;10;Дата исключения из Федерального регистра получателя СДП: ГГГГ/ММ/ДД (п.22 примечаний)
DATRGSDP;10;Дата включения в региональный сегмент Федерального регистра получателя СДП: ГГГГ/ММ/ДД (п.23 примечаний)
DIRESDP;10;Дата исключения из регионального сегмента Федерального регистра получателя СДП: ГГГГ/ММ/ДД (п. 24 примечаний)
DATFDEDV;10;Дата включения в Федеральный регистр получателя ЕДВ: ГГГГ/ММ/ДД  (п.21 примечаний)
DIFEDV;10;Дата исключения из Федерального регистра получателя ЕДВ: ГГГГ/ММ/ДД (п.22 примечаний)
DATRGEDV;10;Дата включения в региональный сегмент Федерального регистра получателя ЕДВ: ГГГГ/ММ/ДД (п.23 примечаний)
DIREEDV;10;Дата исключения из регионального сегмента Федерального регистра получателя ЕДВ: ГГГГ/ММ/ДД (п. 24 примечаний)
KIZEDV;2;Код изменения получателя ЕДВ (п. 25 примечаний)
PENSION;1; Признак получения пенсии в ПФР (Д - пенсионер, Н - нет, В - получатель пенсии в ПФР и (или) другом ведомстве
SUMEDV;15;Общая сумма установленной ЕДВ
SUMEDV1;15;Размер установленной ЕДВ 1
SUMEDV2;15;Размер установленной ЕДВ 2
TEL;20;Контактный телефон
LN;14;Номер выплатного дела получателя  ЕДВ
NSU1;1;Признак получения (отказа от) набора социальных  услуг № 1 на следующий год: Д - получает, Н - не получает, (п. 26 примечаний)
NSU2;1;Признак получения (отказа от) набора социальных  услуг № 2 на следующий год: Д - получает, Н - не получает, (п. 26 примечаний)
NSU3;1;Признак получения (отказа от) набора социальных  услуг № 3 на следующий год: Д - получает, Н - не получает, (п. 26 примечаний)
PRIM;100;Пояснения  к информации (п. 38 примечаний)
REZERV;30;СНИЛС, либо сведения о его регистрации, отказе  (п. 28 примечаний)
ISEDV;3;"Категория получателя (""ЕДВ"" - получатель ежемесячной денежной выплаты, пробел - получателем ежемесячной денежной выплаты не является)"
ISPENSION;4;"Категория получателя (""ПЕНС"" - получатель пенсии, пробел - получателем пенсии не является)"
SDPKATEG;2;Категория получателя социальной доплаты (таблица 13)
KOLZM;3;"Количество  записей о мерах социальной поддержки (запись типа ""М"")"
OPEKA;1;"Признак наличия сведений о законном представителе (опекун, попечитель, родитель) лица, либо о его представителе по доверенности (""Д"" / ""Н"")   "
SDPFROM;10;"Дата, с которой необходимо представить (представлены) сведения о мерах социальной поддержки (запись типа ""М""), либо об изменениях пенсионных и других социальных выплат (запись типа ""С"") - ГГГГ/ММ/ДД  (п. 36 примечаний)"
SDPTO;10;"Дата,  по которую необходимо представить (представлены) сведения о мерах социальной поддержки (запись типа ""М""), либо об изменениях пенсионных и других социальных выплат (запись типа ""С"") - ГГГГ/ММ/ДД  (п. 36 примечаний)."
KOLZS;3;"Количество  записей о праве гражданина на получение социальной доплаты к пенсии (запись типа ""С"")"
REGTYPE;1;"Вид регистрации получателя социальной доплаты (""В"" - временная регистрация, ""П"" - постоянная регистрация)"
RAB;3;"Признак работы пенсионера (""НЕТ"" - неработающий,    ""ДА"" - работающий) "
REGMIN;15;Прожиточный минимум пенсионера в субъекте Российской Федерации
FEDMIN;15;Прожиточный минимум пенсионера в Российской Федерации
FOUND;1;"Признак отсутствия сведений о лице, указанном в запросе - ""Н""  "
RDATNS;10;Нестандартная дата рождения: ГГГГ/ММ/ДД  (п. 5 примечаний)
NUMSDP;14;Номер выплатного дела получателя социальной доплаты к пенсии
KIZSDP;2;Код изменения получателя социальной доплаты к пенсии  (п. 27 примечаний)
DEATHDAT;10;Дата смерти: ГГГГ/ММ/ДД
GER1;3;Код категории, по которой гражданину установлена ЕДВ (для граждан,  указанных в  статье 9.1 Закона Российской Федерации от 15.01.1993 № 4301-1).  Нули (000) - такой категории нет (п. 17 примечаний)
GER2;3;Код категории, по которой гражданину установлена ЕДВ (для граждан,  указанных в статье 6.2 Федерального закона от 09.01.1997 № 5-ФЗ).  Нули (000) - такой категории нет (п. 17 примечаний)
SUMGER1;15;Размер установленной ЕДВ 3
SUMGER2;15;Размер установленной ЕДВ 4
INV;1;"Признак наличия сведений об инвалидности (""Д"" / ""Н"")"
FAMBORN;40;Фамилия, которая была у гражданина при рождении  (п.41 примечаний)
KODMO;10;Код муниципального образования: 99 999 999 (п.42 примечаний)
NAMMO;100;Наименование муниципального образования  (п.42 примечаний)
KOLPEN;3;"Количество записей типа ""ПЕН"" "
KOLIZD;3;Количество иждивенцев
KOLKOR;3;Количество умерших кормильцев
ISUHOD;1;"Наличие сведений о лице, осуществляющим уход (""Д""/""Н"")"
OMO-ALL;15;Сумма установленных ежемесячных денежных выплат (включая стоимость набора социальных услуг)
DATNEDV;10;Дата установления, ежемесячной денежной выплаты   - ГГГГ/ММ/ДД (дата первичного установления)
DATKEDV;10;Дата окончания срока  установления ежемесячной денежной выплаты  - ГГГГ/ММ/ДД (п. 35 примечаний)
DATIZEDV;10;Дата, с которой изменен размер, возобновлена, восстановлена, приостановлена, прекращена выплата ежемесячных денежных выплат (ЕДВ) - ГГГГ/ММ/ДД
KOZAEDV;3;Причина приостановления, прекращения выплаты ежемесячных денежных выплат, (таблица 17)
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;Л;
FNAME;64-zl.dbf;
BEGIN;;
KATEG;3;Код категории, в соответствии с которой гражданин имеет право на ЕДВ (п. 30 примечаний)
NAMEPUD;80;Наименование документа, подтверждающего право на ЕДВ
SERPUD;8;Серия документа, подтверждающего право на ЕДВ
NOMPUD;10;Номер документа, подтверждающего право на ЕДВ
DATVPUD;10;Дата выдачи документа, подтверждающего право на ЕДВ: ГГГГ/ММ/ДД  (п. 31 примечаний)
ORGPUD;80;Наименование органа, выдавшего документ, подтверждающего право на ЕДВ
DATRESH;10;Дата принятия решения о назначении ЕДВ - ГГГГ/ММ/ДД (п. примечаний 47)
DATNAZN;10;Дата назначения ЕДВ - ГГГГ/ММ/ДД (п. примечаний 47)
DNLG;10;Дата начала действия права на ЕДВ: ГГГГ/ММ/ДД (п. 32 примечаний)
DKLG;10;Дата окончания действия права на ЕДВ: ГГГГ/ММ/ДД (п.33 примечаний)
PRKAT;1;Признак кем установлена категория, дающая право на получение ЕДВ (Г - гражданином, А - автоматизированно)
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;С;
FNAME;64-zs.dbf;
BEGIN;;
SUMSDP;15;Размер   социальной доплаты к пенсии (Примечание 39)
DATNSDP;10;Дата, с которой  установлена (изменена), социальная доплата к пенсии
DATKSDP;10;Срок, по который установлена  социальная доплата к пенсии - ГГГГ/ММ/ДД
DAZASDP;10;Дата, с которой  приостановлена (прекращена) социальная доплата к пенсии - ГГГГ/ММ/ДД
KOZASDP;3;Причина приостановления (прекращения) выплаты социальной доплаты к пенсии, (таблица 15)
ORGSDP;100;Наименование органа, осуществляющего пенсионное обеспечение (заполняется территориальным органом ПФР)
OMO;15;Общая сумма материального обеспечения пенсионера (ОМО)
VP_TR;2;Вид  пенсии  (трудовая, таблица 14)
VP_G1;2;Вид  пенсии  (государственная, таблица 14)
VP_G2;2;Вид  пенсии  (государственная, таблица 14)
VP_V;2;Вид  пенсии  (пенсия  др. ведомства, таблица 14)
SUMPENS;15;Сумма (суммы) пенсии (пенсий), (п.34 примечаний)
SUMVEDOM;15;умма (суммы) пенсии (пенсий) ведомст, (п.48 примечаний)
NPA_VP_TR;1;Нормативный правовой акт, в соответствии с которым установлен вид пенсии  (трудовая), (таблица 18)
NPA_VP_G1;1;Нормативный правовой акт, в соответствии с которым установлен вид пенсии  (государственная), (таблица 18)
NPA_VP_G2;1;Нормативный правовой акт, в соответствии с которым установлен вид пенсии  (государственная), (таблица 18)
NPA_VP_V;1;Нормативный правовой акт, в соответствии с которым установлен вид пенсии  (пенсия  др. ведомства, таблица 18)
BDDATE;10;Дата, за которую представляются данные - ГГГГ/ММ/ДД
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;М;
FNAME;64-zm.dbf;
BEGIN;;
DATADATE;10;Дата, за которую представляются данные - ГГГГ/ММ/ДД
KODMSP;1;###############################################################################################################################################################################################################################################################
KODEKV;4;Признак денежного эквивалента мер социальной поддержки (суммы денежной компенсации) (таблица 17)
EKV;10;Денежный эквивалент мер социальной поддержки
SUMKOMPENS;10;"Сумма денежной компенсации; сумма иных мер социальной поддержки (помощи), установленных законодательством субъекта Российской Федерации в денежном выражении (за исключением мер социальной поддержки, предоставляемых единовременно)"
DATFROM;10;###############################################################################################################################################################################################################################################################
DATTO;10;###############################################################################################################################################################################################################################################################
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;И;
FNAME;64-zi.dbf;
OTS-PRIZ;Н;
OTS-POS;1381;
BEGIN;;
DNINV;10;Дата установления инвалидности - ГГГГ/ММ/ДД
DKINV;10;Инвалидность установлена на срок до - ГГГГ/ММ/ДД
DATOSV;10;Дата очередного освидетельствования - ГГГГ/ММ/ДД
REBINV;1;"Инвалидность (категория ""ребенок-инвалид"") за прошлое время (Д - Установлена, Н - Не установлена)"
PRINV;2;Причина инвалидности по данным МСЭ (таблица 24)
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;П;
FNAME;64-zp.dbf;
OTS-PRIZ;Н;
OTS-POS;1250;
BEGIN;;
OFAM;40;Фамилия
OIM;40;Имя
OOT;40;Отчество (в случае отсутствия отчества по документам, удостоверяющим личность гражданина, заполняется пробелами)
ORDAT;10;Стандартная дата рождения: ГГГГ/ММ/ДД (п. 5 примечаний)
FPINDEX;6;Почтовый индекс фактического места пребывания (п. 15 примечаний)
FPREG;50;Регион фактического места пребывания (п. 15 примечаний)
FPRA;50;Район фактического места пребывания (п. 15 примечаний)
FPNP;50;Населенный пункт фактического места пребывания(п. 15 примечаний)
FPUL;40;Улица фактического места пребывания (п. 15 примечаний)
FPDOM;8;Дом фактического места пребывания (п. 15 примечаний)
FPKOR;15;Корпус фактического места пребывания (п. 15 примечаний)
FPKVA;6;Квартира фактического места пребывания (п. 15 примечаний)
KODDOC;14;Код документа, удостоверяющего личность (п.12 примечаний)
SERDOC;9;Серия документа, удостоверяющего личность (п.12 примечаний)
NOMDOC;8;Номер документа, удостоверяющего личность (п.12 примечаний)
DATVDOC;10;Дата выдачи документа, удостоверяющего личность: ГГГГ/ММ/ДД (п.13 примечаний)
ORGDOC;80;Наименование органа, выдавшего документ, удостоверяющего личность
KATZP;10;"Категория законного представителя: опекун; попечитель; родитель."
RDATNS;10;Нестандартная дата рождения: ГГГГ/ММ/ДД (п. 5 примечаний)
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;ПЕН;
FNAME;64-zpen.dbf;
BEGIN;;
DATS;10;Дата, с которой предоставлены данные - ГГГГ/ММ/ДД  (п.43 примечаний)
DATPO;10;Дата, по которую предоставлены данные - ГГГГ/ММ/ДД (п.43 примечаний)
OSN1032-1;3;Основание установления пенсии в соответствии с нормами Закона РФ от 19.04.1991 № 1032-1 (таблица 31)
RAZ1032-1;15;Размер пенсии в соответствии с нормами Закона РФ от 19.04.1991 № 1032-1
OSN1435;3;Основание установления пенсии в соответствии с нормами Указа Президента РФ от 23.09.1993 № 1435 (таблица 32)
RAZ1435;15;Размер пенсии в соответствии с нормами Указа Президента РФ от 23.09.1993 № 1435
OSN1244-1;3;Основание установления пенсии в соответствии с нормами Закона РФ от 15.05.1991 № 1244-1 (п.44 примечаний)
RAZ1244-1;15;Размер пенсии в соответствии с нормами Закона РФ от 15.05.1991 № 1244-1
OSN-TR;3;Основание установления трудовой пенсии (таблица 28)
DAT-TP;10;Дата назначения пенсии (трудовой пенсии)
RAZ-TP;15;Размер трудовой пенсии
DATTO-TP;10;Срок, по который установлена пенсия (трудовая пенсия)
DPR-TP;10;Дата, с которой приостановлена (прекращена) пенсия (трудовая пенсия)
PRI-TP;3;Причина приостановления (прекращения) выплаты пенсии (трудовой пенсии) (таблица 16)
VOZ-TP;10;Дата, с которой возобновлена, восстановлена выплата пенсии (трудовой пенсии)
IZM-TP;10;Дата последнего изменения размера пенсии (трудовой пенсии) (индексация, перерасчет, корректировка)
OSN-SCH;3;Основание установления доли СЧ трудовой пенсии по старости (таблица 33)
RAZ-SCH;15;Размер доли СЧ трудовой пенсии по старости
IZM-SCH;10;Дата последнего изменения доли СЧ трудовой пенсии по старости - ГГГГ/ММ/ДД
OSN-GP1;3;Основание установления пенсии 1 по государственному пенсионному  обеспечению (таблица 28)
OSN-GP2;3;Основание установления пенсии 2 по государственному пенсионному  обеспечению (таблица 28)
DAT-GP1;10;Дата назначения пенсии 1 по государственному пенсионному  обеспечению
DAT-GP2;10;Дата назначения пенсии 2 по государственному пенсионному  обеспечению
RAZ-GP1;15;Размер пенсии 1 по государственному пенсионному  обеспечению
RAZ-GP2;15;Размер пенсии 2 по государственному пенсионному  обеспечению
SRO-GP1;10;Срок, по который установлена пенсия 1 по государственному пенсионному  обеспечению
SRO-GP2;10;Срок, по который установлена пенсия 2 по государственному пенсионному  обеспечению
DPR-GP1;10;Дата, с которой приостановлена (прекращена) выплата пенсии 1 по государственному пенсионному  обеспечению
DPR-GP2;10;Дата, с которой приостановлена (прекращена) выплата пенсии 2 по государственному пенсионному  обеспечению
PRI-GP1;3;Причина приостановления (прекращения) выплаты пенсии 1 по государственному пенсионному  обеспечению (таблица 16)
PRI-GP2;3;Причина приостановления (прекращения) выплаты пенсии 2 по государственному пенсионному  обеспечению (таблица 16)
VOZ-GP1;10;Дата, с которой возобновлена, восстановлена выплата пенсии 1 по государственному пенсионному обеспечению
VOZ-GP2;10;Дата, с которой возобновлена, восстановлена выплата пенсии 2 по государственному пенсионному обеспечению
IZM-GP1;10;Дата последнего изменения размера пенсии 1 по государственному пенсионному обеспечению (индексация, перерасчет)
IZM-GP2;10;Дата последнего изменения размера пенсии 2 по государственному пенсионному обеспечению (индексация, перерасчет)
OSN-DMO1;3;Основание установления ДМО 1 (ДСО)  (таблица 29)
OSN-DMO2;3;Основание установления ДМО 2(ДСО) (таблица 29)
DAT-DMO1;10;Дата установления ДМО 1(ДСО)
DAT-DMO2;10;Дата установления ДМО 2(ДСО)
RAZ-DMO1;15;Размер ДМО 1(ДСО)
RAZ-DMO2;15;Размер ДМО 2(ДСО)
DPR-DMO1;10;Дата, с которой приостановлена  (прекращена) выплата ДМО 1(ДСО)
DPR-DMO2;10;Дата, с которой приостановлена  (прекращена) выплата ДМО 2(ДСО)
PRI-DMO1;3;Причина приостановления (прекращения) выплаты ДМО 1 (ДСО) (таблица 16)
PRI-DMO2;3;Причина приостановления (прекращения) выплаты ДМО 2 (ДСО) (таблица 16)
VOZ-DMO1;10;Дата, с которой возобновлена, восстановлена выплата ДМО 1(ДСО)
VOZ-DMO2;10;Дата, с которой возобновлена, восстановлена выплата ДМО 2 (ДСО)
IZM-DMO1;10;Дата последнего изменения размера ДМО 1(ДСО) (индексация, перерасчет)
IZM-DMO2;10;Дата последнего изменения размера ДМО 2(ДСО) (индексация, перерасчет)
OSN-DEMO;3;Основание установления ДЕМО (таблица 30)
SUM-DEMO;15;Сумма ДЕМО
DAT-DEMO;10;Дата установления, дополнительного материального (социального) обеспечения (ДЕМО) - ГГГГ/ММ/ДД
DPR-DEMO;10;Дата, с которой приостановлена  (прекращена) выплата ДЕМО
VOZ-DEMO;10;Дата, с которой возобновлена, восстановлена выплата ДЕМО
IZM-DEMO;10;Дата последнего изменения размера ДЕМО
PRI-DEMO;3;Причина приостановления (прекращения) выплаты ДЕМО (таблица 16)
OSN-EV65;3;Основание ЕВ в связи с 65-летием Победы в ВОВ  (таблица 34)
RAZ-EV65;15;Размер ЕВ в связи с 65-летием Победы в ВОВ
OSN-EV67;3;Основание ЕВ в связи с 67-летием Победы в ВОВ  (таблица 35)
RAZ-EV67;15;Размер ЕВ в связи с 67-летием Победы в ВОВ
DAT-NCH;10;Дата первичного назначения накопительной части трудовой пенсии по старости (инвалидности) (НЧ )
OSN-NCH;3;Основание назначения НЧ (таблица 36)
RAZ-NCH;15;Размер НЧ
IZM-NCH;10;Дата последнего изменения размера НЧ (корректировка)
OSN-SPN;3;Основание установления ЕВ средств пенсионных накоплений (таблица 36)
RAZ-SPN;15;Размер ЕВ средств пенсионных накоплений
IZM-SPN;10;Дата последнего изменения размера ЕВ (доплата ЕВ), (п. 46 примечаний)
DAT-SPV;10;Дата первичного назначения срочной пенсионной выплаты (СПВ)
OSN-SPV;3;Основание установления СПВ (таблица 37)
SRO-SPV;10;Срок, по который установлена СПВ - ГГГГ/ММ/ДД
DPR-SPV;10;Дата, с которой приостановлена (прекращена) СПВ
VOZ-SPV;10;Дата, с которой возобновлена, восстановлена выплата СПВ
PRI-SPV;3;Причина (приостановления) прекращения СПВ (таблица 16)
IZM-SPV;10;Дата последнего изменения размера СПВ (корректировка)
STAJ-RKS;10;Продолжительность работы в РКС - ГГ/ММ/ДД (года/месяцы/дни)
SUM-SPV;15;Сумма срочной пенсионной выплаты
OZ-1;2;Особая заслуга-1 (таблица 38)
OZ-2;2;Особая заслуга-2 (таблица 38)
OZ-3;2;Особая заслуга-3 (таблица 38)
OZ-4;2;Особая заслуга-4 (таблица 38)
OZ-5;2;Особая заслуга-5 (таблица 38)
OZ-6;2;Особая заслуга-6 (таблица 38)
SPOSOB;40;Способ доставки пенсии (пенсий) (таблица 20)
DAT-DOST;2;Дата доставки пенсии (пенсий) (ДД - день месяца)
DU;6;Доставочный участок
NSCHET;25;Номер счета
NVP;100;Наименование выплатного предприятия
NVEDOM;100;Наименование иного органа, осуществляющего пенсионное обеспечение (заполняется уполномоченным органом исполнительной власти, осуществляющим пенсионное обеспечение в соответствии с Законом Российской Федерации от 12 февраля 1993 года №4468-1, указывается  краткое наименование в соответствии с таблицей 21)
SCH-OWN;1;Признак принадлежности номера счета пенсионеру (Д - принадлежит пенсионеру, Н - принадлежит законному представителю)
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;ИЖД;
FNAME;64-zizd.dbf;
BEGIN;;
TYPEIZD;9;"Сведения о (""КОРМИЛЕЦ"", ""ИЖДИВЕНЕЦ"", ""УХОД"" п.45 примечаний)"
IZDNPERS;14;Страховой номер индивидуального лицевого счета застрахованного лица (СНИЛС): 999-999-999 99 (п. 3 примечаний)
IZDFAM;40;Фамилия
IZDIM;40;Имя
IZDOT;40;Отчество (в случае отсутствия отчества по документам, удостоверяющим личность гражданина, заполняется пробелами)
KATIZD;2;Категория иждивенца (таблица 39)
STATUS;11;"Статус лица, осуществляющего уход (""РОДИТЕЛЬ"", ""ОПЕКУН"", ""УСЫНОВИТЕЛЬ"", ""ПОПЕЧИТЕЛЬ"" ""ДРУГОЕ ЛИЦО"")"
DAT-NUHOD;10;Дата начала периода ухода - ГГГГ/ММ/ДД
DAT-KUHOD;10;Дата прекращения ухода - ГГГГ/ММ/ДД
RAZ-KOMP;15;Размер компенсационной (ежемесячной) выплаты
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
