FORMATNAME;Формат 6.3.2;
PRKAT;1;Признак кем установлена категория, дающая право на получение ЕДВ (Г - гражданином, А - автоматизированно) 
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;С;
FNAME;S632;
BEGIN;;
SUMSDP;15;Размер   социальной доплаты к пенсии (Примечание 40)
DATNSDP;10;Дата, с которой  установлена (изменена), социальная доплата к пенсии 
DATKSDP;10;Срок, по который установлена  социальная доплата к пенсии - ГГГГ/ММ/ДД
DAZASDP;10;Дата, с которой  приостановлена (прекращена) социальная доплата к пенсии - ГГГГ/ММ/ДД
KOZASDP;3;Причина приостановления (прекращения) выплаты социальной доплаты к пенсии, (таблица 13)
ORGSDP;100;Наименование органа, осуществляющего пенсионное обеспечение (заполняется территориальным органом ПФР)
OMO;15;Общая сумма материального обеспечения пенсионера (ОМО)
VP_TR;2;Вид  пенсии  (трудовая, таблица 12)
VP_G1;2;Вид  пенсии  (государственная-1, таблица 12)
VP_G2;2;Вид  пенсии  (государственная-2, таблица 12)
VP_NAC;2;Вид установленной пенсии( накопительная, таблица 12)
VP_V;2;Вид  пенсии  (пенсия  др. ведомства, таблица 12)
SUMPENS;15;Сумма (суммы) пенсии (пенсий), (п.35 примечаний)
SUMDRV;15;Сумма (суммы) пенсии (пенсий) др. ведомств, (п.45 примечаний)
SUMFIX;10;Сумма фиксированной выплаты
SUMSTR;10;Сумма страховой пенсии
SUMNAC;10;Сумма накопительной пенсии
SUMGOS1;10;Сумма государственной пенсии-1
SUMGOS2;10;Сумма государственной пенсии-2
KOMCHS;10;Компенсация за проживание в зоне ЧАЭС
NPA_VP_TR;1;Нормативный правовой акт, в соответствии с которым установлен вид пенсии  (страховая), (таблица 16)
NPA_VP_G1;1;Нормативный правовой акт, в соответствии с которым установлен вид пенсии  (государственная-1), (таблица 16)
NPA_VP_G2;1;Нормативный правовой акт, в соответствии с которым установлен вид пенсии  (государственная-2), (таблица 16)
NPA_VP_V;1;Нормативный правовой акт, в соответствии с которым установлен вид пенсии  (пенсия  др. ведомства, таблица 16)
NPA_NAC;3;Нормативный правовой акт, в соответствии с которым устанновлен вид пенсии (накопительная), таблица 16
SUMDEMO;15;Сумма дополнительного материального (социального) обеспечения (ДЕМО)
SUMDMO;15;Сумма дополнительного материального (социального) обеспечения (ДМО)
SUMEDV;15;Сумма установленных ежемесячных денежных выплат (включая стоимость набора социальных услуг)
DATNPENS;10;Дата установления пенсии (пенсий) - ГГГГ/ММ/ДД (дата первичного назначения)
DATNDEMO;10;Дата установления, дополнительного материального (социального) обеспечения (ДЕМО) - ГГГГ/ММ/ДД
DATNDMO;10;Дата установления, дополнительного материального (социального) обеспечения (ДМО) - ГГГГ/ММ/ДД
DATNEDV;10;Дата установления, ежемесячной денежной выплаты   - ГГГГ/ММ/ДД (дата первичного установления)
DATKPENS;10;Срок, по который установлена пенсия (пенсии) - ГГГГ/ММ/ДД (п. 36 примечаний)
DATKDEMO;10;Срок, по который  установлено дополнительное материальное (социальное) обеспечение (ДЕМО) - ГГГГ/ММ/ДД
DATKDMO;10;Срок, по который  установлено дополнительное материальное (социальное) обеспечение (ДМО) - ГГГГ/ММ/ДД
DATKEDV;10;Дата окончания срока  установления ежемесячной денежной выплаты  - ГГГГ/ММ/ДД (п. 36 примечаний)
DAZAPENS;10;Дата, с которой изменен размер, возобновлена, восстановлена, приостановлена, прекращена выплата пенсии (пенсий) - ГГГГ/ММ/ДД
DAZADEMO;10;Дата, с которой изменен размер, возобновлена, восстановлена, приостановлена, прекращена выплата дополнительного ежемесячного материального (социального) обеспечения  (ДЕМО) - ГГГГ/ММ/ДД
DAZADMO;10;Дата, с которой изменен размер, возобновлена, восстановлена, приостановлена, прекращена выплата дополнительного материального (социального) обеспечения  (ДМО) - ГГГГ/ММ/ДД
DAZAEDV;10;Дата, с которой изменен размер, возобновлена, восстановлена, приостановлена, прекращена выплата ежемесячных денежных выплат (ЕДВ) - ГГГГ/ММ/ДД
KOZAPENS;3;Причина приостановления, прекращения выплаты пенсии (пенсий), (таблица 14)
KOZADEMO;3;Причина приостановления, прекращения выплаты ДЕМО, (таблица 14)
KOZADMO;3;Причина приостановления, прекращения выплаты ДМО, (таблица 14)
KOZAEDV;3;Причина приостановления, прекращения выплаты ежемесячных денежных выплат, (таблица 15)
SPOSOB;36;Способ доставки пенсии (пенсий) (таблица 18)
DATADOST;2;Дата доставки пенсии (пенсий) (ДД - день месяца)  
DOST_UCH;6;Доставочный участок
SCHET;25;Номер счета
VP;100;Наименование выплатного предприятия
NAMPENSORG;100;Наименование иного органа, осуществляющего пенсионное обеспечение
BDDATE;10;Дата, за которую представляются данные - ГГГГ/ММ/ДД
PRSCHET;1;Признак принадлежности номера счета пенсионеру (Д - принадлежит пенсионеру, Н - принадлежит законному представителю)
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;М;
FNAME;M632;
BEGIN;;
DATADATE;10;Дата, за которую представляются данные - ГГГГ/ММ/ДД
KODMSP;1;###############################################################################################################################################################################################################################################################
KODEKV;4;Признак денежного эквивалента мер социальной поддержки (суммы денежной компенсации) (таблица 17)
EKV;10;Денежный эквивалент мер социальной поддержки
SUMKOMPENS;10;"Сумма денежной компенсации; сумма иных мер социальной поддержки (помощи), установленных законодательством субъекта Российской Федерации в денежном выражении (за исключением мер социальной поддержки, предоставляемых единовременно)"
DATFROM;10;###############################################################################################################################################################################################################################################################
DATTO;10;###############################################################################################################################################################################################################################################################
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;П;
FNAME;P632;
BEGIN;;
OFAM;40;Фамилия
OIM;40;Имя
OOT;40;Отчество (в случае отсутствия отчества по документам, удостоверяющим личность гражданина, заполняется пробелами)
ORDAT;10;Стандартная дата рождения: ГГГГ/ММ/ДД (п. 5 примечаний)
FPINDEX;6;Почтовый индекс фактического места пребывания (п. 16 примечаний)
FPREG;50;Регион фактического места пребывания (п. 16 примечаний)
FPRA;50;Район фактического места пребывания (п. 16 примечаний)
FPNP;50;Населенный пункт фактического места пребывания(п. 16 примечаний)
FPUL;40;Улица фактического места пребывания (п. 16 примечаний)
FPDOM;8;Дом фактического места пребывания (п. 16 примечаний)
FPKOR;15;Корпус фактического места пребывания (п. 16 примечаний)
FPKVA;6;Квартира фактического места пребывания (п. 16 примечаний)
KODDOC;14;Код документа, удостоверяющего личность (п.13 примечаний)
SERDOC;9;Серия документа, удостоверяющего личность (п.13 примечаний)
NOMDOC;8;Номер документа, удостоверяющего личность (п.13 примечаний)
DATVDOC;10;Дата выдачи документа, удостоверяющего личность: ГГГГ/ММ/ДД (п.14 примечаний)
ORGDOC;80;Наименование органа, выдавшего документ, удостоверяющего личность
KATZP;10;"Категория законного представителя: опекун; попечитель; родитель."
RDATNS;10;Нестандартная дата рождения: ГГГГ/ММ/ДД (п. 5 примечаний)
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;И;
FNAME;I632;
BEGIN;;
DNINV;10;Дата установления инвалидности - ГГГГ/ММ/ДД( п. 46 примечаний)
DKINV;10;Инвалидность установлена на срок до - ГГГГ/ММ/ДД (п. 47 примечаний)
DATOSV;10;Дата очередного освидетельствования - ГГГГ/ММ/ДД
REBINV;1;"Инвалидность (категория ""ребенок-инвалид"") за прошлое время (Д - Установлена, Н - Не установлена)"
PRINV;2;Причина инвалидности по данным МСЭ (таблица 24)
PERV;1;Инвалидность установлена(В -Впервые, П- Повторно)
GR;1;Группа нивалидности( возможные значения:-0-нет группы, 1, 2, 3, Р-ребенок-инвалид(п. 44 примечаний)
STEP;1;Степень утраты трудоспособности пенсионера (возможные значения, 0- нет степени, 1, 2,3)
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
