FORMATNAME;Формат 6.3;
NSU2;1;Признак получения (отказа от) набора социальных услуг № 2 на следующий год:Д - получает, Н - не получает, (п. 26 примечаний)
NSU3;1;Признак получения (отказа от) набора социальных услуг № 3 на следующий год:Д - получает, Н - не получает, (п. 26 примечаний)
PRIM;100;Пояснения  к информации (п. 38 примечаний)
REZERV;30;СНИЛС, либо сведения о его регистрации, отказе  (п. 28 примечаний)
ISEDV;3;"Категория получателя (""ЕДВ"" - получатель ежемесячной денежной выплаты, пробел - получателем ежемесячной денежной выплаты не является)"
ISPENSION;4;"Категория получателя (""ПЕНС"" - получатель пенсии, пробел - получателем пенсии не является)"
SDPKATEG;2;Категория получателя социальной доплаты (таблица 11) 
KOLZM;3;"Количество  записей о мерах социальной поддержки (запись типа ""М"")"
OPEKA;1;"Признак наличия сведений о законном представителе (опекун, попечитель, родитель) лица, либо о его представителе по доверенности (""Д"" / ""Н"")   "
SDPFROM;10;"Дата, с которой необходимо представить (представлены) сведения о мерах социальной поддержки (запись типа ""М""), либо об изменениях пенсионных и других социальных выплат (запись типа ""С"") - ГГГГ/ММ/ДД (п. 36 примечаний)"
SDPTO;10;"Дата,  по которую необходимо представить (представлены) сведения о мерах социальной поддержки (запись типа ""М""), либо об изменениях пенсионных и других социальных выплат (запись типа ""С"") - ГГГГ/ММ/ДД (п. 36 примечаний)."
KOLZS;3;"Количество  записей о праве гражданина на получение социальной доплаты к пенсии (запись типа ""С"")"
REGTYPE;1;"Вид регистрации получателя социальной доплаты (""В"" - временная регистрация, ""П"" - постоянная регистрация)"
RAB;3;"Признак работы пенсионера (""НЕТ"" - неработающий,   ""ДА"" - работающий) "
REGMIN;15;Прожиточный минимум пенсионера в субъекте Российской Федерации
FEDMIN;15;Прожиточный минимум пенсионера в Российской Федерации
FOUND;1;"Признак отсутствия сведений о лице, указанном в запросе - ""Н""  "
RDATNS;10;Нестандартная дата рождения: ГГГГ/ММ/ДД (п. 5 примечаний)
NUMSDP;14;Номер выплатного дела получателя социальной доплаты к пенсии
KIZSDP;2;Код изменения получателя социальной доплаты к пенсии (п. 27 примечаний)
DEATHDAT;10;Дата смерти: ГГГГ/ММ/ДД
GER1;3;Код категории, по которой гражданину установлена ЕДВ (для граждан,  указанных в  статье 9.1 Закона Российской Федерации от 15.01.1993 № 4301-1).  Нули (000) - такой категории нет (п. 17 примечаний)
GER2;3;Код категории, по которой гражданину установлена ЕДВ (для граждан,  указанных в статье 6.2 Федерального закона от 09.01.1997 № 5-ФЗ).  Нули (000) - такой категории нет (п. 17 примечаний)
SUMGER1;15;Размер установленной ЕДВ 3
SUMGER2;15;Размер установленной ЕДВ 4
INV;1;"Признак наличия сведений об инвалидности (""Д"" / ""Н"")"
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;Л;
FNAME;63-zl.dbf;
BEGIN;;
KATEG;3;Код категории, в соответствии с которой гражданин имеет право на ЕДВ (п. 30 примечаний)
NAMEPUD;80;Наименование документа, подтверждающего право на ЕДВ
SERPUD;8;Серия документа, подтверждающего право на ЕДВ
NOMPUD;10;Номер документа, подтверждающего право на ЕДВ
DATVPUD;10;Дата выдачи документа, подтверждающего право на ЕДВ:ГГГГ/ММ/ДД  (п. 31 примечаний)
ORGPUD;80;Наименование органа, выдавшего документ, подтверждающего право на ЕДВ
DNLG;10;Дата начала действия права на ЕДВ:ГГГГ/ММ/ДД (п. 32 примечаний)
DKLG;10;Дата окончания действия права на ЕДВ:ГГГГ/ММ/ДД (п.33 примечаний)
PRKAT;1;Признак кем установлена категория, дающая право на получение ЕДВ (Г - гражданином, А - автоматизированно) 
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;С;
FNAME;63-zs.dbf;
BEGIN;;
SUMSDP;15;Размер   социальной доплаты к пенсии (Примечание 39)
DATNSDP;10;Дата, с которой  установлена (изменена), социальная доплата к пенсии 
DATKSDP;10;Срок, по который установлена  социальная доплата к пенсии - ГГГГ/ММ/ДД
DAZASDP;10;Дата, с которой  приостановлена (прекращена) социальная доплата к пенсии - ГГГГ/ММ/ДД
KOZASDP;3;Причина приостановления (прекращения) выплаты социальной доплаты к пенсии, (таблица 13)
ORGSDP;100;Наименование органа, осуществляющего пенсионное обеспечение (заполняется территориальным органом ПФР)
OMO;15;Общая сумма материального обеспечения пенсионера (ОМО)
VP_TR;2;Вид  пенсии  (трудовая, таблица 12)
VP_G1;2;Вид  пенсии  (государственная, таблица 12)
VP_G2;2;Вид  пенсии  (государственная, таблица 12)
VP_V;2;Вид  пенсии  (пенсия  др. ведомства, таблица 12)
SUMPENS;15;Сумма (суммы) пенсии (пенсий), (п.34 примечаний)
NPA_VP_TR;1;Нормативный правовой акт, в соответствии с которым установлен вид пенсии  (трудовая), (таблица 16)
NPA_VP_G1;1;Нормативный правовой акт, в соответствии с которым установлен вид пенсии  (государственная), (таблица 16)
NPA_VP_G2;1;Нормативный правовой акт, в соответствии с которым установлен вид пенсии  (государственная), (таблица 16)
NPA_VP_V;1;Нормативный правовой акт, в соответствии с которым установлен вид пенсии  (пенсия  др. ведомства, таблица 16)
SUMDEMO;15;Сумма дополнительного материального (социального) обеспечения (ДЕМО)
SUMDMO;15;Сумма дополнительного материального (социального) обеспечения (ДМО)
SUMEDV;15;Сумма установленных ежемесячных денежных выплат (включая стоимость набора социальных услуг)
DATNPENS;10;Дата установления пенсии (пенсий) - ГГГГ/ММ/ДД (дата первичного назначения)
DATNDEMO;10;Дата установления, дополнительного материального (социального) обеспечения (ДЕМО) - ГГГГ/ММ/ДД
DATNDMO;10;Дата установления, дополнительного материального (социального) обеспечения (ДМО) - ГГГГ/ММ/ДД
DATNEDV;10;Дата установления, ежемесячной денежной выплаты   - ГГГГ/ММ/ДД (дата первичного установления)
DATKPENS;10;Срок, по который установлена пенсия (пенсии) - ГГГГ/ММ/ДД (п. 35 примечаний)
DATKDEMO;10;Срок, по который  установлено дополнительное материальное (социальное) обеспечение (ДЕМО) - ГГГГ/ММ/ДД
DATKDMO;10;Срок, по который  установлено дополнительное материальное (социальное) обеспечение (ДМО) - ГГГГ/ММ/ДД
DATKEDV;10;Дата окончания срока  установления ежемесячной денежной выплаты  - ГГГГ/ММ/ДД (п. 35 примечаний)
DAZAPENS;10;Дата, с которой изменен размер, возобновлена, восстановлена, приостановлена, прекращена выплата пенсии (пенсий) - ГГГГ/ММ/ДД
DAZADEMO;10;Дата, с которой изменен размер, возобновлена, восстановлена, приостановлена, прекращена выплата дополнительного ежемесячного материального (социального) обеспечения  (ДЕМО) - ГГГГ/ММ/ДД
DAZADMO;10;Дата, с которой изменен размер, возобновлена, восстановлена, приостановлена, прекращена выплата дополнительного материального (социального) обеспечения  (ДМО) - ГГГГ/ММ/ДД
DAZAEDV;10;Дата, с которой изменен размер, возобновлена, восстановлена, приостановлена, прекращена выплата ежемесячных денежных выплат (ЕДВ) - ГГГГ/ММ/ДД
KOZAPENS;3;Причина приостановления, прекращения выплаты пенсии (пенсий), (таблица 14)
KOZADEMO;3;Причина приостановления, прекращения выплаты ДЕМО, (таблица 14)
KOZADMO;3;Причина приостановления, прекращения выплаты ДМО, (таблица 14)
KOZAEDV;3;Причина приостановления, прекращения выплаты ежемесячных денежных выплат, (таблица 15)
SPOSOB;36;Способ доставки пенсии (пенсий) (таблица 18)
DATADOST;2;Дата доставки пенсии (пенсий) (ДД - день месяца)  
DOST_UCH;6;Доставочный участок
SCHET;25;Номер счета
VP;100;Наименование выплатного предприятия
NAMPENSORG;100;###############################################################################################################################################################################################################################################################
BDDATE;10;Дата, за которую представляются данные - ГГГГ/ММ/ДД
PRSCHET;1;Признак принадлежности номера счета пенсионеру (Д - принадлежит пенсионеру, Н - принадлежит законному представителю)
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;М;
FNAME;63-zm.dbf;
BEGIN;;
DATADATE;10;Дата, за которую представляются данные - ГГГГ/ММ/ДД
KODMSP;1;###############################################################################################################################################################################################################################################################
KODEKV;4;Признак денежного эквивалента мер социальной поддержки (суммы денежной компенсации) (таблица 17)
EKV;10;Денежный эквивалент мер социальной поддержки
SUMKOMPENS;10;"Сумма денежной компенсации; сумма иных мер социальной поддержки (помощи), установленных законодательством субъекта Российской Федерации в денежном выражении (за исключением мер социальной поддержки, предоставляемых единовременно)"
DATFROM;10;###############################################################################################################################################################################################################################################################
DATTO;10;###############################################################################################################################################################################################################################################################
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;П;
FNAME;63-zp.dbf;
BEGIN;;
OFAM;40;Фамилия
OIM;40;Имя
OOT;40;Отчество (в случае отсутствия отчества по документам, удостоверяющим личность гражданина, заполняется пробелами)
ORDAT;10;Стандартная дата рождения: ГГГГ/ММ/ДД (п. 5 примечаний)
FPINDEX;6;Почтовый индекс фактического места пребывания (п. 15 примечаний)
FPREG;50;Регион фактического места пребывания (п. 15 примечаний)
FPRA;50;Район фактического места пребывания (п. 15 примечаний)
FPNP;50;Населенный пункт фактического места пребывания(п. 15 примечаний)
FPUL;40;Улица фактического места пребывания (п. 15 примечаний)
FPDOM;8;Дом фактического места пребывания (п. 15 примечаний)
FPKOR;15;Корпус фактического места пребывания (п. 15 примечаний)
FPKVA;6;Квартира фактического места пребывания (п. 15 примечаний)
KODDOC;14;Код документа, удостоверяющего личность (п.12 примечаний)
SERDOC;9;Серия документа, удостоверяющего личность (п.12 примечаний)
NOMDOC;8;Номер документа, удостоверяющего личность (п.12 примечаний)
DATVDOC;10;Дата выдачи документа, удостоверяющего личность: ГГГГ/ММ/ДД (п.13 примечаний)
ORGDOC;80;Наименование органа, выдавшего документ, удостоверяющего личность
KATZP;10;"Категория законного представителя: опекун; попечитель; родитель."
RDATNS;10;Нестандартная дата рождения: ГГГГ/ММ/ДД (п. 5 примечаний)
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;И;
FNAME;63-zi.dbf;
BEGIN;;
DNINV;10;Дата установления инвалидности - ГГГГ/ММ/ДД
DKINV;10;Инвалидность установлена на срок до - ГГГГ/ММ/ДД
DATOSV;10;Дата очередного освидетельствования - ГГГГ/ММ/ДД
REBINV;1;"Инвалидность (категория ""ребенок-инвалид"") за прошлое время (Д - Установлена, Н - Не установлена)"
PRINV;2;Причина инвалидности по данным МСЭ (таблица 24)
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
