DIF;10;Дата исключения из Федерального регистра: ГГГГ/ММ/ДД (п.22 примечаний);;;;;;;
DATREG;10;Дата включения в региональный сегмент Федерального ре-гистра: ГГГГ/ММ/ДД (п.23 примечаний);;;;;;;
DIRE;10;Дата исключения из регионального сегмента Федерального регистра: ГГГГ/ММ/ДД (п. 24 примечаний);;;;;;;
KIZ;2;Код изменения (п.25 примечаний);;;;;;;
PENSION;1; Признак получения пенсии в ПФР (Д - пенсионер, Н - нет);;;;;;;
TEL;20;Контактный телефон;;;;;;;
LN;14;Номер выплатного дела получателя  ЕДВ;;;;;;;
NSU1;1;Признак получения (отказа от) набора социальных  услуг № 1 на следующий год: Д - получает, Н - не получает, (п. 26 примечаний);;;;;;;
NSU2;1;Признак получения (отказа от) набора социальных  услуг № 2 на следующий год: Д - получает, Н - не получает, (п. 26 примечаний);;;;;;;
NSU3;1;Признак получения (отказа от) набора социальных  услуг на следующий год  (п. 27 примечаний);;;;;;;
PRIM;100;Пояснения  к информации (п. 28 примечаний);;;;;;;
REZERV;30;Резерв (временно старый СНИЛС) (п. 29 примечаний);;;;;;;
END;;;;;;;;;
TYPEZ;Л;;;;;;;;
FNAME;50-zl.dbf;;;;;;;;
BEGIN;;;;;;;;;
KATEG;3;Код категории, в соответствии с которой гражданин имеет  право на ГСП  (п. 8 примечаний);;;;;;;
NAMEPUD;80;Наименование документа, подтверждающего право на ГСП;;;;;;;
SERPUD;8;Серия документа, подтверждающего право на ГСП;;;;;;;
NOMPUD;10;Номер документа, подтверждающего право на ГСП;;;;;;;
DATVPUD;10;Дата выдачи документа, подтверждающего право на ГСП: ГГГГ/ММ/ДД;;;;;;;
ORGPUD;80;Наименование органа, выдавшего документ, подтверждающий право на ГСП;;;;;;;
DNLG;10;Дата начала действия права на ГСП:  ГГГГ/ММ/ДД;;;;;;;
DKLG;10;Дата окончания действия права на ГСП:   ГГГГ/ММ/ДД;;;;;;;
PRKAT;1;Признак кем установлена категория, дающая право на ГСП  (Г- гражданином, А - автоматизировано, пробел - категория не установлена);;;;;;;
REZERV;10;Резерв;;;;;;;
END;;;;;;;;;
